Payment type;Date;Average trip cost;Average trip km cost
Cash;31.12.2020;14.004673;7.046274569
Credit card;31.12.2020;17.198036;6.4220287
Dispute;31.12.2020;-0.773617;-26.68814084
No charge;31.12.2020;9.064857;-3.421292928
Unknown;31.12.2020;31.757435;10.26943431
Cash;30.12.2020;14.347544;8.415904861
Credit card;30.12.2020;17.80906;6.606754668
Dispute;30.12.2020;-4.886735;-38.91977765
No charge;30.12.2020;9.316336;-21.751152
Unknown;30.12.2020;31.53074;5.734892271
Cash;29.12.2020;14.154858;7.91599658
Credit card;29.12.2020;17.447513;6.236899971
Dispute;29.12.2020;-2.687074;-19.79788872
No charge;29.12.2020;8.97433;-5.00933135
Unknown;29.12.2020;31.758492;6.873103894
Cash;28.12.2020;14.491592;7.767736268
Credit card;28.12.2020;18.169787;6.082692466
Dispute;28.12.2020;-1.053429;-5.413140168
No charge;28.12.2020;11.584146;3.434170353
Unknown;28.12.2020;31.77084;6.501202934
Cash;27.12.2020;15.131892;7.171178642
Credit card;27.12.2020;19.71136;6.111621571
Dispute;27.12.2020;-2.270597;-51.66515518
No charge;27.12.2020;11.186758;-5.933467972
Unknown;27.12.2020;32.487617;10.55538304
Cash;26.12.2020;14.053832;7.535196773
Credit card;26.12.2020;17.587107;6.496733585
Dispute;26.12.2020;-2.983695;-39.45712458
No charge;26.12.2020;8.710314;-11.0435737
Unknown;26.12.2020;32.125558;8.224949731
Cash;25.12.2020;14.617372;6.946957925
Credit card;25.12.2020;18.295421;5.931976291
Dispute;25.12.2020;-4.443703;-43.46843947
No charge;25.12.2020;6.309682;-9.46278392
Unknown;25.12.2020;34.296801;6.072518788
Cash;24.12.2020;14.004378;7.425303822
Credit card;24.12.2020;16.562118;6.995686193
Dispute;24.12.2020;-2.741534;-14.5235899
No charge;24.12.2020;8.04163;-14.5371941
Unknown;24.12.2020;31.000466;5.37892578
Cash;23.12.2020;14.664252;7.680631942
Credit card;23.12.2020;17.961389;7.062136561
Dispute;23.12.2020;0.656425;-12.56191766
No charge;23.12.2020;9.823197;0.350424576
Unknown;23.12.2020;32.023399;7.229651039
Cash;22.12.2020;14.583244;8.100774819
Credit card;22.12.2020;17.632915;6.809973579
Dispute;22.12.2020;0.317081;-17.33582606
No charge;22.12.2020;10.508026;-4.883441725
Unknown;22.12.2020;31.475321;8.512557394
Cash;21.12.2020;14.706043;8.724808267
Credit card;21.12.2020;17.595786;6.699047779
Dispute;21.12.2020;-2.224583;-32.26081132
No charge;21.12.2020;8.709149;-21.03970747
Unknown;21.12.2020;31.334793;5.917918982
Cash;20.12.2020;14.644073;8.417873501
Credit card;20.12.2020;17.666782;6.25758762
Dispute;20.12.2020;-2.982123;-18.00362543
No charge;20.12.2020;10.19159;-3.596017142
Unknown;20.12.2020;31.164401;7.433265543
Cash;19.12.2020;14.356635;9.501090954
Credit card;19.12.2020;17.119697;6.398082359
Dispute;19.12.2020;-4.009696;-26.58127551
No charge;19.12.2020;9.295645;1.295491702
Unknown;19.12.2020;30.522083;6.203349839
Cash;18.12.2020;14.924899;8.725329919
Credit card;18.12.2020;17.898332;6.820111641
Dispute;18.12.2020;-1.92358;-32.15332917
No charge;18.12.2020;10.709484;-5.59771878
Unknown;18.12.2020;30.967907;7.303358967
Cash;17.12.2020;14.825004;9.823787648
Credit card;17.12.2020;16.713354;6.592230728
Dispute;17.12.2020;-7.941203;-30.72528065
No charge;17.12.2020;9.657948;-2.566883531
